lessonName,lessonTime,lessonClass,lessonTeacher,lessonDay,groupName,podGroup,numerator,id
л.Физическая культура,09.45-11.20 ,452,-,ПОНЕДЕЛЬНИК ,Х-211,1,0,1
пр.Физическая культура,09.45-11.20 ,-,-,ПОНЕДЕЛЬНИК ,Х-211,1,1,2
л.Математика,11.50-13.25 ,446,Кузнецов С.Ф.,ПОНЕДЕЛЬНИК ,Х-211,1,0,3
л.Математика,11.50-13.25 ,446,Кузнецов С.Ф.,ПОНЕДЕЛЬНИК ,Х-211,1,1,4
пр.Информатика,13.35-15.10 ,309а,Белокуров С.В.,ПОНЕДЕЛЬНИК ,Х-211,1,0,5
пр.Информатика,13.35-15.10 ,309а,Белокуров С.В.,ПОНЕДЕЛЬНИК ,Х-211,1,1,6
лаб.Неорг. химия,09.45-11.20 ,022,Плотникова С.Е.,ВТОРНИК     ,Х-211,1,0,7
пр.Математика,09.45-11.20 ,205,Кузнецов С.Ф.,ВТОРНИК     ,Х-211,1,1,8
"пр.История (история России, всеобщая история)",11.50-13.25 ,46,Быковская Г.А.,ВТОРНИК     ,Х-211,1,0,9
"пр.История (история России, всеобщая история)",11.50-13.25 ,46,Быковская Г.А.,ВТОРНИК     ,Х-211,1,1,10
"лаб.Информатика,",13.35-15.10 ,424,Белокуров С.В.,ВТОРНИК     ,Х-211,1,0,11
"лаб.Физика,",13.35-15.10 ,51,Власов Ю.Н.,ВТОРНИК     ,Х-211,1,1,12
ЭСТЕТИКА И КУЛЬТУРА БАЗ,15.20-16.55 ,-,-,ВТОРНИК     ,Х-211,1,0,13
ЭСТЕТИКА И КУЛЬТУРА БАЗ,15.20-16.55 ,-,-,ВТОРНИК     ,Х-211,1,1,14
л.Физика,09.45-11.20 ,53,Власов Ю.Н., СРЕДА      ,Х-211,1,0,15
л.Физика,09.45-11.20 ,53,Власов Ю.Н., СРЕДА      ,Х-211,1,1,16
пр.Иностранный язык,11.50-13.25 ,2и,Кошеварова И.Б., СРЕДА      ,Х-211,1,0,17
пр.Иностранный язык,11.50-13.25 ,3и,Сихарулидзе Д.Х., СРЕДА      ,Х-211,1,0,18
пр.Иностранный язык,11.50-13.25 ,2и,Кошеварова И.Б., СРЕДА      ,Х-211,1,1,19
пр.Иностранный язык,11.50-13.25 ,3и,Сихарулидзе Д.Х., СРЕДА      ,Х-211,1,1,20
пр.Математика,13.35-15.10 ,205,Кузнецов С.Ф., СРЕДА      ,Х-211,1,0,21
пр.Математика,13.35-15.10 ,205,Кузнецов С.Ф., СРЕДА      ,Х-211,1,1,22
